contacts,modal_hz,mean_hz,interval_mean_ms,interval_sd_ms,interval_min_ms,interval_max_ms,max_gap_ms,intervals,pct_of_single_contact_rate
1,58.9971,58.0888,17.215014,0.414192,16.050800,18.055400,18.055400,743,100.00
2,58.9971,58.0601,17.223529,0.417356,16.975100,18.025000,18.025000,487,100.00
3,58.9971,58.0373,17.230296,0.421796,16.974500,18.026100,18.026100,360,100.00
4,58.9971,58.0694,17.220783,0.416132,16.974600,18.024900,18.024900,398,100.00
5,58.9971,58.0691,17.220877,0.415599,16.923100,18.068000,18.068000,416,100.00
6,58.6510,58.0624,17.222851,0.417264,16.975800,18.016200,18.016200,233,99.41
7,58.9971,58.0610,17.223277,0.415952,16.969000,18.021100,18.021100,228,100.00
8,58.9971,58.0388,17.229842,0.420938,16.967000,18.024300,18.024300,552,100.00
9,58.9971,58.0315,17.232018,0.423638,16.946500,18.038200,18.038200,439,100.00
10,58.9971,58.0531,17.225595,0.422758,15.999200,18.054600,18.054600,1182,100.00
