contacts,modal_hz,mean_hz,interval_mean_ms,interval_sd_ms,interval_min_ms,interval_max_ms,max_gap_ms,intervals,pct_of_single_contact_rate
1,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,3977,100.00
2,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,1750,100.00
3,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,610,100.00
4,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,1817,100.00
5,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,952,100.00
6,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,961,100.00
7,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,874,100.00
8,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,1078,100.00
9,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,937,100.00
10,124.2236,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,5472,100.00
